name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
canva:canva-edit-design,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-edit-design/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canva:canva-implement-feedback,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-implement-feedback/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canva:canva-resize-for-social-media,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-resize-for-social-media/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canva:canva-translate-design,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-translate-design/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canvas-design,${HOME}/.codex/skills/canvas-design/SKILL.md,,Retained by approved policy; discovery visibility varies
churn-prevention,${HOME}/.codex/skills/churn-prevention/SKILL.md,,Retained by approved policy; discovery visibility varies
citation-management,${HOME}/.codex/skills/citation-management/SKILL.md,,Retained by approved policy; discovery visibility varies
claude-opus-delegator,${HOME}/.codex/skills/claude-opus-delegator/SKILL.md,,Retained by approved policy; discovery visibility varies
clean-code,${HOME}/.codex/skills/clean-code/SKILL.md,,Retained by approved policy; discovery visibility varies
closed-loop-delivery,${HOME}/.codex/skills/closed-loop-delivery/SKILL.md,,Retained by approved policy; discovery visibility varies
code-reviewer,${HOME}/.codex/skills/code-reviewer/SKILL.md,,Retained by approved policy; discovery visibility varies
code-simplifier,${HOME}/.codex/skills/code-simplifier/SKILL.md,,Retained by approved policy; discovery visibility varies
content-development,${HOME}/.codex/skills/content-development/SKILL.md,,Retained by approved policy; discovery visibility varies
content-quality-gate,${HOME}/.codex/source/ide-config-internal/skills/content-quality-gate/SKILL.md,,Retained by approved policy; discovery visibility varies
context7-cli,${HOME}/.codex/skills/context7-cli/SKILL.md,,Retained by approved policy; discovery visibility varies
